Title,Developer,Publisher,First released,JP,EU,NA
"Backyard Basketball
•Junior Sports BasketballEU",Humongous Entertainment,Atari,2003-10-21NA,,✔,✔
Backyard Football '08,FarSight Technologies,Atari,2007-10-16NA,,,✔
Backyard Football '09,FarSight Technologies,Atari,2008-10-21NA,,,✔
Backyard Football '10,FarSight Technologies,Atari,2009-10-20NA,,,✔
Backyard Football 2006,Humongous Entertainment,Atari,2005-10-04NA,,,✔
Backyard Sports: Baseball 2007,Game Brains,Atari,2006-09-05NA,,,✔
Backyard Sports: Basketball 2007,Game Brains,Atari,2007-02-13NA,,,✔
Backyard Wrestling: Don't Try This at Home,Paradox Development,Eidos Interactive,2003-10-07NA,✔,✔,✔
Backyard Wrestling 2: There Goes the Neighborhood,Paradox Development,Eidos Interactive,2004-11-16NA,✔,✔,✔
"Bad Boys: Miami Takedown
•Bad Boys IIEU",Blitz Games,"Empire InteractiveEU, Crave EntertainmentNA",2004-02EU,,✔,✔
Bakufuu Slash! Kizna Arashi,Sony Computer Entertainment,Sony Computer Entertainment,2004-11-03JP,✔,,
Bakugan Battle Brawlers,Now Production,Activision,2009-10-20NA,,✔,✔
Bakumatsu Renka: Karyuu Kenshiden,Vridge,D3 Publisher,2007-10-04JP,✔,,
Bakumatsu Renka: Shinsengumi,Vridge,D3 Publisher,2004-12-22JP,✔,,
Bakumatsu Rouman: Gekka no Kenshi 1-2,SNK Playmore,SNK Playmore,2006-01-12JP,✔,,
Bakushou! Jinsei Kaidou,Taito,Taito,2004-03-18JP,✔,,
Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,Dual,Spike,2003-01-23JP,✔,,
Baldr Bullet: Equilibrium,TGL,Alchemist,2007-10-25JP,✔,,
Baldr Force EXE,HuneX,Alchemist,2005-04-07JP,✔,,
Baldur's Gate: Dark Alliance,Snowblind Studios,"Interplay EntertainmentEU, NA, Pacific Century Cyber WorksJP",2001-12-02NA,✔,✔,✔
Baldur's Gate: Dark Alliance II,Black Isle Studios,Interplay Entertainment,2004-01-20NA,✔,✔,✔
Band Hero,BudCat,Activision,2009-11-03NA,,✔,✔
"Barbarian
•Warrior Blade: Rastan vs. BarbarianJP",Saffire,"Titus SoftwareNA/EU, TaitoJP",2002-06-27NA,✔,✔,✔
Barbie as the Island Princess,Human Soft,Activision,2007-10-30NA,,✔,✔
Barbie Horse Adventures: Riding Camp,Pixel Tales,Activision,2008-10-21NA,,✔,✔
Barbie Horse Adventures: Wild Horse Rescue,Blitz Games,Vivendi Universal Games,2003-11-04NA,,✔,✔
Barbie in the 12 Dancing Princesses,Blue Monkey Studios,Activision,2006-11-28NA,,✔,✔
The Bard's Tale,InXile Entertainment,"InXile EntertainmentNA, UbisoftEU",2004-10-26NA,,✔,✔
